#depth	A_V(extended)	A_V(point)
 1.07705e+08	2.17e-10	2.91e-10
 6.46229e+08	1.08e-09	1.45e-09
 1.56177e+09	2.06e-09	2.76e-09
 2.48271e+09	2.93e-09	3.94e-09
 3.31151e+09	3.72e-09	5.00e-09
 4.05741e+09	4.43e-09	5.95e-09
 4.72872e+09	5.07e-09	6.81e-09
 5.33291e+09	5.65e-09	7.58e-09
 5.87668e+09	6.17e-09	8.27e-09
 6.36607e+09	6.63e-09	8.90e-09
 6.80652e+09	7.05e-09	9.46e-09
 7.20293e+09	7.43e-09	9.97e-09
 7.55970e+09	7.77e-09	1.04e-08
 7.88079e+09	8.08e-09	1.08e-08
 8.16977e+09	8.35e-09	1.12e-08
 8.42985e+09	8.60e-09	1.15e-08
 8.66393e+09	8.82e-09	1.18e-08
 8.87460e+09	9.02e-09	1.21e-08
 9.06420e+09	9.20e-09	1.23e-08
 9.23484e+09	9.37e-09	1.26e-08
 9.38841e+09	9.51e-09	1.28e-08
 9.52663e+09	9.64e-09	1.29e-08
 9.65103e+09	9.76e-09	1.31e-08
 9.76381e+09	9.87e-09	1.32e-08
 9.87151e+09	9.98e-09	1.34e-08
 9.97922e+09	1.01e-08	1.35e-08
 1.00869e+10	1.02e-08	1.37e-08
 1.01946e+10	1.03e-08	1.38e-08
 1.03023e+10	1.04e-08	1.40e-08
 1.04100e+10	1.05e-08	1.41e-08
 1.05177e+10	1.06e-08	1.43e-08
 1.06254e+10	1.07e-08	1.44e-08
 1.07249e+10	1.08e-08	1.45e-08
###########################
 1.07705e+08	2.17e-10	2.91e-10
 6.46229e+08	1.08e-09	1.45e-09
 1.56168e+09	2.06e-09	2.76e-09
 2.48253e+09	2.93e-09	3.94e-09
 3.31131e+09	3.72e-09	5.00e-09
 4.05722e+09	4.43e-09	5.95e-09
 4.72855e+09	5.07e-09	6.81e-09
 5.33274e+09	5.65e-09	7.58e-09
 5.87650e+09	6.17e-09	8.27e-09
 6.36589e+09	6.63e-09	8.90e-09
 6.80634e+09	7.05e-09	9.46e-09
 7.20275e+09	7.43e-09	9.97e-09
 7.55951e+09	7.77e-09	1.04e-08
 7.88060e+09	8.08e-09	1.08e-08
 8.16958e+09	8.35e-09	1.12e-08
 8.42966e+09	8.60e-09	1.15e-08
 8.66374e+09	8.82e-09	1.18e-08
 8.87440e+09	9.02e-09	1.21e-08
 9.06400e+09	9.20e-09	1.23e-08
 9.23464e+09	9.37e-09	1.26e-08
 9.38822e+09	9.51e-09	1.28e-08
 9.52643e+09	9.64e-09	1.29e-08
 9.65083e+09	9.76e-09	1.31e-08
 9.76361e+09	9.87e-09	1.32e-08
 9.87131e+09	9.98e-09	1.34e-08
 9.97902e+09	1.01e-08	1.35e-08
 1.00867e+10	1.02e-08	1.37e-08
 1.01944e+10	1.03e-08	1.38e-08
 1.03021e+10	1.04e-08	1.40e-08
 1.04098e+10	1.05e-08	1.41e-08
 1.05175e+10	1.06e-08	1.43e-08
 1.06252e+10	1.07e-08	1.44e-08
 1.07247e+10	1.08e-08	1.45e-08
###########################
 1.07705e+08	2.17e-10	2.91e-10
 6.46229e+08	1.08e-09	1.45e-09
 1.56168e+09	2.06e-09	2.76e-09
 2.48253e+09	2.93e-09	3.94e-09
 3.31131e+09	3.72e-09	5.00e-09
 4.05722e+09	4.43e-09	5.95e-09
 4.72855e+09	5.07e-09	6.81e-09
 5.33274e+09	5.65e-09	7.58e-09
 5.87650e+09	6.17e-09	8.27e-09
 6.36589e+09	6.63e-09	8.90e-09
 6.80634e+09	7.05e-09	9.46e-09
 7.20275e+09	7.43e-09	9.97e-09
 7.55951e+09	7.77e-09	1.04e-08
 7.88060e+09	8.08e-09	1.08e-08
 8.16958e+09	8.35e-09	1.12e-08
 8.42966e+09	8.60e-09	1.15e-08
 8.66374e+09	8.82e-09	1.18e-08
 8.87440e+09	9.02e-09	1.21e-08
 9.06400e+09	9.20e-09	1.23e-08
 9.23464e+09	9.37e-09	1.26e-08
 9.38822e+09	9.51e-09	1.28e-08
 9.52643e+09	9.64e-09	1.29e-08
 9.65083e+09	9.76e-09	1.31e-08
 9.76361e+09	9.87e-09	1.32e-08
 9.87131e+09	9.98e-09	1.34e-08
 9.97902e+09	1.01e-08	1.35e-08
 1.00867e+10	1.02e-08	1.37e-08
 1.01944e+10	1.03e-08	1.38e-08
 1.03021e+10	1.04e-08	1.40e-08
 1.04098e+10	1.05e-08	1.41e-08
 1.05175e+10	1.06e-08	1.43e-08
 1.06252e+10	1.07e-08	1.44e-08
 1.07247e+10	1.08e-08	1.45e-08
